cluster.index,componentindex,merge
9260,-1,X190.9_1.7
4791,-1,X190.9_3.2
6417,1193,X191_1.1
15633,-1,X191.1_1.3
6394,1538,X191.2_2.3
25828,-1,X191.5_0.6
2915,151,X191.8_2.5
15114,-1,X191.8_3.1
10552,-1,X191.9_0.7
3526,81,X191.9_1
15056,480,X191.9_1.3
859,-1,X191.9_2.2
16370,-1,X192.4_2.2
29451,480,X192.5_1.3
3676,-1,X192.8_0.7
19553,-1,X192.9_1
3727,-1,X192.9_2.3
937,-1,X192.9_2.6
4000,-1,X193.1_0.6
17159,-1,X193.9_0.9
6070,-1,X193.9_2.5
6176,434,X194.2_2.1
2961,-1,X194.8_0.6
11979,-1,X194.9_0.7
16564,102,X194.9_1.6
939,-1,X194.9_1.9
15805,1791,X194.9_2
2735,281,X194.9_3.4
18715,-1,X195.8_2.2
3964,1441,X195.9_1.5
16282,-1,X195.9_3
6081,-1,X196_1.4
11117,1441,X196_1.8
20749,1696,X196_3.1
8564,-1,X196.3_0.8
9229,9,X196.9_0.8
3467,-1,X196.9_1
22646,-1,X196.9_1.2
20536,-1,X196.9_1.4
5092,1441,X196.9_1.6
5012,-1,X196.9_2.6
5060,-1,X196.9_2.7
24928,-1,X197.8_0.6
29860,1611,X197.8_2.6
3084,1291,X197.9_1.6
21896,-1,X1971.2_6.4
1596,1017,X198_1.3
1224,-1,X198_1.8
1377,847,X198.9_0.5
10266,-1,X198.9_1.4
12687,-1,X198.9_1.8
24270,1611,X198.9_2.6
1286,-1,X198.9_2.7
10282,-1,X199.1_1.3
3124,-1,X199.8_0.7
16642,-1,X199.9_0.5
6424,-1,X199.9_2.2
29939,-1,X200_0.9
7057,-1,X200.8_2.8
7499,-1,X200.9_0.6
1017,-1,X200.9_0.9
18790,358,X200.9_1.4
1599,-1,X200.9_2.3
8499,-1,X201_1.5
29963,358,X201.3_1.3
11039,-1,X202_1.5
4109,592,X202_2.4
12458,167,X202.9_0.7
8559,280,X202.9_0.9
3609,280,X202.9_1.2
23231,497,X202.9_1.8
8173,85,X202.9_2.1
1353,-1,X202.9_2.4
15492,85,X203_2.5
21783,142,X203.5_2.1
15660,1832,X203.9_0.7
3710,-1,X204_0.5
9440,-1,X204.8_1.8
1005,1135,X204.9_0.5
13148,-1,X204.9_0.8
3928,-1,X204.9_1.5
9820,142,X204.9_2.1
7543,-1,X205.4_1.1
5666,730,X205.9_1.2
8891,-1,X205.9_1.5
3302,-1,X206.9_0.7
16051,-1,X206.9_1
963,402,X206.9_2.3
870,928,X206.9_2.8
10724,-1,X207_1.1
3138,151,X207_1.4
3180,1538,X207_3.1
811,103,X207_3.7
918,872,X207.1_2.5
22063,-1,X207.3_1.8
24589,-1,X207.3_1.9
3025,1181,X207.3_2.3
5774,-1,X207.5_9.7
5148,1228,X207.9_0.7
4728,402,X207.9_2.3
7504,-1,X207.9_3.4
17001,510,X208_3
13002,-1,X208_3.8
5530,872,X208.1_2.5
10102,1228,X208.8_0.6
24311,-1,X208.9_0.7
10290,-1,X208.9_1.5
6528,-1,X208.9_2
10269,-1,X208.9_2.9
4727,1538,X208.9_3.1
20426,745,X210_2
14575,745,X210.8_2
5581,-1,X210.9_1.3
2990,-1,X210.9_1.4
30091,-1,X210.9_2.6
21129,-1,X211.8_0.8
8730,1137,X212_1.9
21126,214,X212.1_2.8
7845,1647,X212.9_1
9309,-1,X212.9_1.7
22012,619,X213.7_1.1
27931,-1,X214_1.3
21493,-1,X214.9_0.5
4947,-1,X214.9_0.7
16934,-1,X214.9_0.9
8448,-1,X215_2.3
8707,910,X215_4.2
30769,-1,X215.3_0.9
5862,631,X215.9_1
5819,576,X215.9_2.6
11228,631,X216_1.3
6028,-1,X216_2.1
18245,576,X216.4_2.7
4357,-1,X216.9_2.6
4400,1157,X217_1.2
14040,1460,X217.6_9.9
7377,167,X217.8_0.7
5223,603,X217.8_0.9
7253,142,X218_2
10837,-1,X218.9_0.6
3206,-1,X218.9_0.9
13569,773,X218.9_2.5
9631,555,X219_1.9
13990,483,X219_2.9
