ID,rep,merge.5,merge,species,cryo,GL_CSSC,zip.code.GPS,state,SPECIES_SOURCE
FYRE2_A-10_B-F1_GL37-G1.mzXML Peak area,b,GL37-G1b,GL37.G1b,expansum,GL37-G1,GL,lake michigan,lakes,expansum-GL
FYRE2_A-11_B-F2_GL39-A12.mzXML Peak area,b,GL39-A12b,GL39.A12b,expansum,GL39-A12,GL,lake michigan,lakes,expansum-GL
FYRE2_A-12_B-F3_GL79-D7.mzXML Peak area,b,GL79-D7b,GL79.D7b,expansum,GL79-D7,GL,lake michigan,lakes,expansum-GL
FYRE2_A-2_B-E4_GL101-F4.mzXML Peak area,b,GL101-F4b,GL101.F4b,expansum,GL101-F4,GL,lake michigan,lakes,expansum-GL
FYRE2_A-3_B-E5_GL102-D8.mzXML Peak area,b,GL102-D8b,GL102.D8b,expansum,GL102-D8,GL,lake michigan,lakes,expansum-GL
FYRE2_A-4_B-E6_GL39-F1.mzXML Peak area,b,GL39-F1b,GL39.F1b,expansum,GL39-F1,GL,lake michigan,lakes,expansum-GL
FYRE2_A-5_B-E7_GL85-D2.mzXML Peak area,b,GL85-D2b,GL85.D2b,expansum,GL85-D2,GL,lake michigan,lakes,expansum-GL
FYRE2_A-6_B-E8_GL76-E1.mzXML Peak area,b,GL76-E1b,GL76.E1b,expansum,GL76-E1,GL,lake michigan,lakes,expansum-GL
FYRE2_A-7_B-E9_GL82-G1.mzXML Peak area,b,GL82-G1b,GL82.G1b,expansum,GL82-G1,GL,lake michigan,lakes,expansum-GL
FYRE2_A-8_B-E10_GL23-F7.mzXML Peak area,b,GL23-F7b,GL23.F7b,expansum,GL23-F7,GL,lake michigan,lakes,expansum-GL
FYRE2_B-1_B-F4_GL40-D9.mzXML Peak area,b,GL40-D9b,GL40.D9b,expansum,GL40-D9,GL,lake michigan,lakes,expansum-GL
FYRE2_C-10_N-A2_GL104-A6.mzXML Peak area,a,GL104-A6a,GL104.A6a,oxalicum,GL104-A6,GL,lake michigan,lakes,oxalicum-GL
FYRE2_C-11_N-A3_GL82-H5.mzXML Peak area,a,GL82-H5a,GL82.H5a,oxalicum,GL82-H5,GL,lake michigan,lakes,oxalicum-GL
FYRE2_C-12_N-A4_GL26-H7.mzXML Peak area,a,GL26-H7a,GL26.H7a,oxalicum,GL26-H7,GL,lake michigan,lakes,oxalicum-GL
FYRE2_C-9_N-A1_GL21-B3.mzXML Peak area,a,GL21-B3a,GL21.B3a,oxalicum,GL21-B3,GL,lake michigan,lakes,oxalicum-GL
FYRE2_D-1_N-A5_GL84-D3.mzXML Peak area,a,GL84-D3a,GL84.D3a,oxalicum,GL84-D3,GL,lake michigan,lakes,oxalicum-GL
FYRE2_D-10_N-B2_GL36-F12.mzXML Peak area,a,GL36-F12a,GL36.F12a,oxalicum,GL36-F12,GL,lake michigan,lakes,oxalicum-GL
FYRE2_D-11_N-B3_GL22-D4.mzXML Peak area,a,GL22-D4a,GL22.D4a,oxalicum,GL22-D4,GL,lake michigan,lakes,oxalicum-GL
FYRE2_D-2_N-A6_GL21-G6.mzXML Peak area,a,GL21-G6a,GL21.G6a,oxalicum,GL21-G6,GL,lake michigan,lakes,oxalicum-GL
FYRE2_D-4_N-A8_GL22-C3.mzXML Peak area,a,GL22-C3a,GL22.C3a,oxalicum,GL22-C3,GL,lake michigan,lakes,oxalicum-GL
FYRE2_D-5_N-A9_GL21-C8.mzXML Peak area,a,GL21-C8a,GL21.C8a,oxalicum,GL21-C8,GL,lake michigan,lakes,oxalicum-GL
FYRE2_D-6_N-A10_GL23-G10.mzXML Peak area,a,GL23-G10a,GL23.G10a,oxalicum,GL23-G10,GL,lake michigan,lakes,oxalicum-GL
FYRE2_D-7_N-A11_GL21-A11.mzXML Peak area,a,GL21-A11a,GL21.A11a,oxalicum,GL21-A11,GL,lake michigan,lakes,oxalicum-GL
FYRE2_D-8_N-A12_GL76-C9.mzXML Peak area,a,GL76-C9a,GL76.C9a,oxalicum,GL76-C9,GL,lake michigan,lakes,oxalicum-GL
FYRE2_D-9_N-B1_GL27-A11.mzXML Peak area,a,GL27-A11a,GL27.A11a,oxalicum,GL27-A11,GL,lake michigan,lakes,oxalicum-GL
FYRE2_F-10_N-E8_GL22-C3.mzXML Peak area,b,GL22-C3b,GL22.C3b,oxalicum,GL22-C3,GL,lake michigan,lakes,oxalicum-GL
FYRE2_F-11_N-E9_GL21-C8.mzXML Peak area,b,GL21-C8b,GL21.C8b,oxalicum,GL21-C8,GL,lake michigan,lakes,oxalicum-GL
FYRE2_F-12_N-E10_GL23-G10.mzXML Peak area,b,GL23-G10b,GL23.G10b,oxalicum,GL23-G10,GL,lake michigan,lakes,oxalicum-GL
FYRE2_F-3_N-E1_GL21-B3.mzXML Peak area,b,GL21-B3b,GL21.B3b,oxalicum,GL21-B3,GL,lake michigan,lakes,oxalicum-GL
FYRE2_F-4_N-E2_GL104-A6.mzXML Peak area,b,GL104-A6b,GL104.A6b,oxalicum,GL104-A6,GL,lake michigan,lakes,oxalicum-GL
FYRE2_F-5_N-E3_GL82-H5.mzXML Peak area,b,GL82-H5b,GL82.H5b,oxalicum,GL82-H5,GL,lake michigan,lakes,oxalicum-GL
FYRE2_F-6_N-E4_GL26-H7.mzXML Peak area,b,GL26-H7b,GL26.H7b,oxalicum,GL26-H7,GL,lake michigan,lakes,oxalicum-GL
FYRE2_F-7_N-E5_GL84-D3.mzXML Peak area,b,GL84-D3b,GL84.D3b,oxalicum,GL84-D3,GL,lake michigan,lakes,oxalicum-GL
FYRE2_F-8_N-E6_GL21-G6.mzXML Peak area,b,GL21-G6b,GL21.G6b,oxalicum,GL21-G6,GL,lake michigan,lakes,oxalicum-GL
FYRE2_G-1_N-E11_GL21-A11.mzXML Peak area,b,GL21-A11b,GL21.A11b,oxalicum,GL21-A11,GL,lake michigan,lakes,oxalicum-GL
FYRE2_G-2_N-E12_GL76-C9.mzXML Peak area,b,GL76-C9b,GL76.C9b,oxalicum,GL76-C9,GL,lake michigan,lakes,oxalicum-GL
FYRE2_G-3_N-F1_GL27-A11.mzXML Peak area,b,GL27-A11b,GL27.A11b,oxalicum,GL27-A11,GL,lake michigan,lakes,oxalicum-GL
FYRE2_G-4_N-F2_GL36-F12.mzXML Peak area,b,GL36-F12b,GL36.F12b,oxalicum,GL36-F12,GL,lake michigan,lakes,oxalicum-GL
FYRE2_G-5_N-F3_GL22-D4.mzXML Peak area,b,GL22-D4b,GL22.D4b,oxalicum,GL22-D4,GL,lake michigan,lakes,oxalicum-GL
